metric,value,source
total_hospitals_oman,92,MOH Annual Health Report 2023 (moh.gov.om)
total_hospital_beds_oman,7691,MOH Annual Health Report 2023 (omannews.gov.om/topics/en/79/show/118135)
moh_hospitals,50,MOH Annual Health Report 2023
moh_hospital_beds,5024,MOH Annual Health Report 2023
beds_per_10000_oman,14.9,MOH Annual Health Report 2023 (= 1.49 per 1000)
muscat_share_of_beds,0.35,Estimated - Muscat has ~35% of national healthcare capacity
muscat_hospital_beds,2692,Estimated (7691 x 0.35)
who_benchmark_per_1000,3.0,WHO Global Health Observatory
gcc_average_per_1000,2.2,WHO EMRO Region Report
