year,population,source
2003,632073,NCSI Census 2003 (citypopulation.de/en/oman/admin/01__masqat/)
2010,775878,NCSI Census 2010 (citypopulation.de/en/oman/admin/01__masqat/)
2020,1302440,NCSI Census 2020 (citypopulation.de/en/oman/admin/01__masqat/)
2023,1455680,NCSI Statistical Yearbook 2024 (gulfmigration.grc.net - 575171 Omani + 880509 expat)
2025,1500000,NCSI via Oman News Agency Feb 2025 (omannews.gov.om)
